,index,TF,target,importance
788,113,RUNX2,SERPINE1,32.369494617248904
789,173,GATA2,SERPINE1,20.841748241072562
530,91,TEAD2,CCND1,17.620326763264252
790,136,AHR,SERPINE1,8.845719727025216
754,191,GLI2,ACTA2,7.987999414594084
508,112,SRF,ETV4,7.759215767785798
876,154,SOX9,POSTN,7.655403171181969
531,92,TEAD2,ETV4,6.520546879942602
298,9,SMAD3,ATF3,6.378277591870274
822,147,BMI1,MMP14,5.847951252111879
794,15,RXRA,SERPINE1,4.004639006526461
355,50,MYC,RXRA,3.523156279390479
13,157,STAT3,TP53,3.482596876900369
823,95,TRIM28,MMP14,3.1156285985754213
594,75,TEAD4,MAPK14,3.046389275323683
595,74,TEAD4,NFATC1,3.033738268094392
848,99,GATA6,MMP1,2.983553719154431
693,154,SOX9,CTGF,2.320171999831408
849,118,FOS,MMP1,2.3199293213857404
912,38,EGR1,COL1A2,2.269090452772646
711,136,AHR,FN1,2.1960054956085346
850,148,CREM,MMP1,2.1646314879258095
243,200,CREB1,BCL6,2.105210196692662
878,166,TP53,POSTN,2.040487850536081
825,22,WT1,MMP14,2.008760461132816
93,100,JUN,KLF4,1.995812461423831
851,113,RUNX2,MMP1,1.8259404028517603
301,9,SMAD3,NFKB1,1.7743002669068122
652,130,YAP1,STAT3,1.7315852279628476
537,91,TEAD2,MYC,1.7207852005831388
959,130,YAP1,SPP1,1.7074743575614524
94,101,JUN,BCL6,1.6980299548017839
244,200,CREB1,NUCKS1,1.668491419354121
95,101,JUN,TP53,1.6224182069800657
96,101,JUN,CREB1,1.5725230773762662
879,175,BCL6,POSTN,1.5682591655424056
145,128,NFKB1,BACH1,1.5194050740624452
914,17,CCND1,COL1A2,1.4803200868185367
712,135,NUCKS1,FN1,1.4749342019677787
0,199,STAT1,MYC,1.4112893111142484
826,8,NFATC1,MMP14,1.333201025644831
852,178,BACH1,MMP1,1.2789020095681212
853,101,JUN,MMP1,1.223017411866475
880,41,CUX1,POSTN,1.1966415653498126
474,8,NFATC1,BMI1,1.1958236064704642
827,156,ETV4,MMP14,1.1846950941347545
798,18,RELA,SERPINE1,1.1753006000776856
799,123,CLOCK,SERPINE1,1.0907714746466337
755,109,MAPK14,ACTA2,1.0891245638581217
714,51,MYC,FN1,1.0858804386510295
881,101,JUN,POSTN,1.0826763386285096
929,156,ETV4,COL3A1,1.074767987799772
694,70,RARG,CTGF,1.054367463857197
916,18,RELA,COL1A2,1.0488102447540146
247,200,CREB1,GLI2,1.0383274522510164
800,142,ATF3,SERPINE1,1.0353358495425573
98,100,JUN,GATA6,1.004293373137564
475,8,NFATC1,AHR,0.9770086830733856
248,200,CREB1,CREM,0.973801326708484
491,87,NFATC3,SOX9,0.9204653716191404
601,75,TEAD4,ATF3,0.834571390505993
602,74,TEAD4,CUX1,0.8236638125763179
780,14,KLF4,TIMP2,0.8125304837054226
511,111,SRF,EGR1,0.8019212995660884
371,51,MYC,TRIM28,0.7735643185795954
22,157,STAT3,GATA2,0.6819462894377883
189,18,RELA,TCF3,0.640646822283254
24,156,STAT3,RARG,0.5754009399037093
605,75,TEAD4,SOX9,0.5723668808571795
307,9,SMAD3,BACH1,0.5708756984555317
309,9,SMAD3,YAP1,0.5447677486551972
377,51,MYC,CLOCK,0.5156490592160199
150,127,NFKB1,RUNX2,0.49644155773966936
191,17,RELA,CCND1,0.49245869315247043
718,32,TCF3,FN1,0.48009882285265787
30,156,STAT3,WT1,0.436963898108773
